iter	Passed	Remaining
1011	18725	36783
1012	18743	36766
1013	18761	36746
1014	18778	36725
1015	18797	36707
1016	18814	36685
1017	18832	36665
1018	18849	36645
1019	18868	36626
1020	18886	36607
1021	18904	36588
1022	18922	36569
1023	18940	36549
1024	18957	36527
1025	18975	36508
1026	18993	36488
1027	19010	36467
1028	19027	36447
1029	19045	36427
1030	19063	36407
1031	19081	36387
1032	19099	36369
1033	19117	36349
1034	19135	36328
1035	19153	36310
1036	19171	36290
1037	19189	36272
1038	19207	36252
1039	19225	36232
1040	19243	36212
1041	19260	36191
1042	19277	36171
1043	19297	36154
1044	19314	36133
1045	19333	36115
1046	19350	36095
1047	19368	36076
1048	19387	36057
1049	19404	36037
1050	19422	36017
1051	19441	35999
1052	19457	35977
1053	19475	35957
1054	19493	35938
1055	19511	35918
1056	19528	35897
1057	19545	35877
1058	19563	35857
1059	19581	35838
1060	19600	35819
1061	19618	35800
1062	19636	35781
1063	19653	35760
1064	19671	35740
1065	19690	35723
1066	19706	35701
1067	19724	35680
1068	19741	35659
1069	19758	35639
1070	19775	35618
1071	19792	35597
1072	19810	35576
1073	19827	35555
1074	19844	35536
1075	19862	35516
1076	19880	35497
1077	19899	35478
1078	19916	35459
1079	19935	35440
1080	19952	35420
1081	19970	35401
1082	19988	35381
1083	20005	35361
1084	20023	35340
1085	20040	35320
1086	20059	35302
1087	20075	35279
1088	20093	35260
1089	20111	35240
1090	20127	35218
1091	20144	35198
1092	20163	35179
1093	20180	35158
1094	20197	35138
1095	20216	35121
1096	20234	35100
1097	20250	35078
1098	20268	35059
1099	20286	35040
1100	20304	35021
1101	20323	35003
1102	20340	34983
1103	20358	34963
1104	20375	34943
1105	20393	34924
1106	20410	34902
1107	20426	34880
1108	20444	34859
1109	20460	34838
1110	20477	34818
1111	20497	34801
1112	20515	34781
1113	20533	34762
1114	20550	34742
1115	20568	34722
1116	20586	34703
1117	20604	34684
1118	20621	34663
1119	20639	34644
1120	20657	34625
1121	20674	34605
1122	20692	34586
1123	20710	34565
1124	20727	34546
1125	20745	34526
1126	20762	34506
1127	20780	34487
1128	20798	34467
1129	20815	34447
1130	20834	34428
1131	20851	34408
1132	20868	34388
1133	20886	34369
1134	20905	34351
1135	20922	34331
1136	20940	34312
1137	20958	34291
1138	20976	34272
1139	20993	34253
1140	21012	34235
1141	21030	34215
1142	21046	34194
1143	21064	34174
1144	21082	34155
1145	21100	34135
1146	21116	34114
1147	21134	34095
1148	21152	34076
1149	21170	34057
1150	21187	34037
1151	21205	34017
1152	21222	33997
1153	21240	33977
1154	21258	33957
1155	21275	33938
1156	21293	33918
1157	21311	33899
1158	21329	33880
1159	21346	33859
1160	21362	33838
1161	21381	33819
1162	21399	33800
1163	21416	33781
1164	21434	33761
1165	21452	33743
1166	21470	33724
1167	21489	33705
1168	21507	33687
1169	21525	33667
1170	21541	33646
1171	21558	33625
1172	21576	33606
1173	21593	33586
1174	21611	33566
1175	21629	33547
1176	21646	33527
1177	21664	33507
1178	21683	33490
1179	21700	33469
1180	21717	33449
1181	21734	33429
1182	21752	33410
1183	21769	33390
1184	21789	33373
1185	21807	33355
1186	21825	33336
1187	21842	33315
1188	21859	33294
1189	21877	33275
1190	21893	33254
1191	21912	33236
1192	21930	33216
1193	21947	33197
1194	21964	33176
1195	21982	33157
1196	21999	33136
1197	22016	33117
1198	22034	33097
1199	22051	33077
1200	22069	33058
1201	22086	33038
1202	22104	33019
1203	22122	32999
1204	22139	32978
1205	22155	32958
1206	22174	32940
1207	22191	32919
1208	22209	32900
1209	22226	32880
1210	22244	32861
1211	22261	32841
1212	22278	32821
1213	22296	32801
1214	22314	32783
